Accession	Name
PF00736	EF-1 guanine nucleotide exchange domain
PF00737	Photosystem II 10 kDa phosphoprotein
PF00738	Polyhedrin
PF00739	Trans-activation protein X
PF00740	Parvovirus coat protein VP2
PF00741	Gas vesicle protein
PF00742	Homoserine dehydrogenase
PF00743	Flavin-binding monooxygenase-like
PF00745	Glutamyl-tRNAGlu reductase, dimerisation domain
PF00746	LPXTG cell wall anchor motif
PF00747	ssDNA binding protein
PF00748	Calpain inhibitor
PF00749	tRNA synthetases class I (E and Q), catalytic domain
PF00750	tRNA synthetases class I (R)
PF00751	DM DNA binding domain
PF00752	XPG N-terminal domain
PF00753	Metallo-beta-lactamase superfamily
PF00754	F5/8 type C domain
PF00755	Choline/Carnitine o-acyltransferase
PF00756	Putative esterase
PF00757	Furin-like cysteine rich region
PF00758	Erythropoietin/thrombopoietin
PF00759	Glycosyl hydrolase family 9
PF00760	Cucumovirus coat protein
PF00761	Polyomavirus coat protein
PF00762	Ferrochelatase
PF00763	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
PF00764	Arginosuccinate synthase N-terminal HUP domain
PF00765	Autoinducer synthase
PF00766	Electron transfer flavoprotein FAD-binding domain
PF00767	Potyvirus coat protein
PF00768	D-alanyl-D-alanine carboxypeptidase
PF00769	Ezrin/radixin/moesin family C terminal
PF00770	Adenovirus endoprotease
PF00771	FHIPEP family
PF00772	DnaB-like helicase N terminal domain
PF00773	RNB domain
PF00775	Dioxygenase
PF00777	Glycosyltransferase family 29 (sialyltransferase)
PF00778	DIX domain
PF00779	BTK motif
PF00780	CNH domain
PF00781	Diacylglycerol kinase catalytic domain
PF00782	Dual specificity phosphatase, catalytic domain
PF00784	MyTH4 domain
PF00786	P21-Rho-binding domain
PF00787	PX domain
PF00788	Ras association (RalGDS/AF-6) domain
PF00789	UBX domain
PF00790	VHS domain
PF00791	ZU5 domain
PF00792	Phosphoinositide 3-kinase C2
PF00793	DAHP synthetase I family
PF00794	PI3-kinase family, ras-binding domain
PF00795	Carbon-nitrogen hydrolase
PF00796	Photosystem I reaction centre subunit VIII
PF00797	N-acetyltransferase
PF00798	Arenavirus glycoprotein
PF00799	Geminivirus Rep catalytic domain
PF00800	Prephenate dehydratase
PF00801	PKD domain
PF00802	Pneumovirus attachment glycoprotein G
PF00803	3A/RNA2 movement protein family
PF00804	Syntaxin
PF00805	Pentapeptide repeats (8 copies)
PF00806	Pumilio-family RNA binding repeat
PF00807	Apidaecin
PF00808	Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF00809	Pterin binding enzyme
PF00810	ER lumen protein retaining receptor
PF00811	Ependymin
PF00812	Ephrin
PF00813	FliP family
PF00814	tRNA N6-adenosine threonylcarbamoyltransferase
PF00815	Histidinol dehydrogenase
PF00816	H-NS histone family
PF00817	impB/mucB/samB family
PF00818	Ice nucleation protein repeat
PF00819	Myotoxin, crotamine
PF00820	Borrelia lipoprotein
PF00821	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain
PF00822	PMP-22/EMP/MP20/Claudin family
PF00823	PPE family
PF00825	Ribonuclease P
PF00827	Ribosomal L15
PF00828	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A
PF00829	Ribosomal prokaryotic L21 protein
PF00830	Ribosomal L28 family
PF00831	Ribosomal L29 protein
PF00832	Ribosomal L39 protein
PF00833	Ribosomal S17
PF00834	Ribulose-phosphate 3 epimerase family
PF00835	SNAP-25 family
PF00836	Stathmin family
PF00837	Iodothyronine deiodinase
PF00838	Translationally controlled tumour protein
PF00839	Cysteine rich repeat
PF00840	Glycosyl hydrolase family 7
PF00841	Sperm histone P2
PF00842	Alanine racemase, C-terminal domain
PF00843	Arenavirus nucleocapsid N-terminal domain
PF00844	Geminivirus coat protein/nuclear export factor BR1 family
PF00845	Geminivirus BL1 movement protein
PF00846	Hantavirus nucleocapsid protein
PF00847	AP2 domain
PF00848	Ring hydroxylating alpha subunit (catalytic domain)
PF00849	RNA pseudouridylate synthase
PF00850	Histone deacetylase domain
PF00851	Helper component proteinase
PF00852	Glycosyltransferase family 10 (fucosyltransferase) C-term
PF00853	Runt domain
PF00854	POT family
PF00855	PWWP domain
PF00856	SET domain
PF00857	Isochorismatase family
PF00858	Amiloride-sensitive sodium channel
PF00859	CTF/NF-I family transcription modulation region
PF00860	Permease family
PF00861	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
PF00862	Sucrose synthase
PF00863	Peptidase family C4
PF00864	ATP P2X receptor
PF00865	Osteopontin
PF00866	Ring hydroxylating beta subunit
PF00867	XPG I-region
PF00868	Transglutaminase family
PF00869	Flavivirus glycoprotein, central and dimerisation domains
PF00870	P53 DNA-binding domain
PF00871	Acetokinase family
PF00872	Transposase, Mutator family
PF00873	AcrB/AcrD/AcrF family
PF00874	PRD domain
PF00875	DNA photolyase
PF00876	Innexin
PF00877	NlpC/P60 family
PF00878	Cation-independent mannose-6-phosphate receptor repeat
PF00879	Defensin propeptide
PF00880	Nebulin repeat
PF00881	Nitroreductase family
PF00882	Zinc dependent phospholipase C
PF00883	Cytosol aminopeptidase family, catalytic domain
PF00884	Sulfatase
PF00885	6,7-dimethyl-8-ribityllumazine synthase
PF00886	Ribosomal protein S16
PF00887	Acyl CoA binding protein
PF00888	Cullin family
PF00889	Elongation factor TS
PF00890	FAD binding domain
PF00891	O-methyltransferase domain
PF00892	EamA-like transporter family
PF00893	Small Multidrug Resistance protein
PF00894	Luteovirus coat protein
PF00895	ATP synthase protein 8
PF00897	Orbivirus inner capsid protein VP7
PF00898	Orbivirus outer capsid protein VP2
PF00899	ThiF family
PF00900	Ribosomal family S4e
PF00901	Orbivirus outer capsid protein VP5
PF00902	Sec-independent protein translocase protein (TatC)
PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00904	Involucrin repeat
PF00905	Penicillin binding protein transpeptidase domain
PF00906	Hepatitis core antigen
PF00907	T-box
PF00908	dTDP-4-dehydrorhamnose 3,5-epimerase
PF00909	Ammonium Transporter Family
PF00910	RNA helicase
PF00912	Transglycosylase
PF00913	Trypanosome variant surface glycoprotein (A-type)
PF00915	Calicivirus coat protein
PF00916	Sulfate permease family
PF00917	MATH domain
PF00918	Gastrin/cholecystokinin family
PF00919	Uncharacterized protein family UPF0004
PF00920	Dehydratase family
PF00921	Borrelia lipoprotein
PF00922	Vesiculovirus phosphoprotein
PF00923	Transaldolase/Fructose-6-phosphate aldolase
PF00924	Mechanosensitive ion channel, beta-domain
PF00925	GTP cyclohydrolase II
PF00926	3,4-dihydroxy-2-butanone 4-phosphate synthase
PF00927	Transglutaminase family, C-terminal ig like domain
PF00928	Adaptor complexes medium subunit family
PF00929	Exonuclease
PF00930	Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF00931	NB-ARC domain
PF00932	Lamin Tail Domain
PF00933	Glycosyl hydrolase family 3 N terminal domain
PF00934	PE family
PF00935	Ribosomal protein L44
PF00936	BMC domain
PF00937	Coronavirus nucleocapsid
PF00938	Lipoprotein
PF00939	Sodium:sulfate symporter transmembrane region
PF00940	DNA-dependent RNA polymerase
PF00941	FAD binding domain in molybdopterin dehydrogenase
PF00942	Cellulose binding domain
PF00943	Alphavirus E2 glycoprotein
PF00944	Alphavirus core protein
PF00945	Rhabdovirus nucleocapsid protein
PF00946	Mononegavirales RNA dependent RNA polymerase
PF00947	Picornavirus core protein 2A
PF00948	Flavivirus non-structural Protein NS1
PF00949	Peptidase S7, Flavivirus NS3 serine protease
PF00950	ABC 3 transport family
PF00951	Arterivirus GL envelope glycoprotein
PF00952	Bunyavirus nucleocapsid (N) protein
PF00953	Glycosyl transferase family 4
PF00954	S-locus glycoprotein domain
PF00955	HCO3- transporter family
PF00956	Nucleosome assembly protein (NAP)
PF00957	Synaptobrevin
PF00958	GMP synthase C terminal domain
PF00959	Phage lysozyme
PF00960	Neocarzinostatin family
PF00961	LAGLIDADG endonuclease
PF00962	Adenosine deaminase
PF00963	Cohesin domain
PF00964	Elicitin
PF00965	Tissue inhibitor of metalloproteinase
PF00967	Barwin family
PF00969	Class II histocompatibility antigen, beta domain
PF00970	Oxidoreductase FAD-binding domain
PF00971	EIAV coat protein, gp90
PF00972	Flavivirus RNA-directed RNA polymerase, fingers and palm domains
PF00973	Paramyxovirus nucleocapsid protein
PF00974	Rhabdovirus spike glycoprotein
PF00975	Thioesterase domain
PF00976	Corticotropin ACTH domain
PF00977	Histidine biosynthesis protein
PF00978	RNA dependent RNA polymerase
PF00979	Reovirus outer capsid protein, Sigma 3
PF00980	Rotavirus major capsid protein VP6
PF00981	Rotavirus RNA-binding Protein 53 (NS53)
PF00982	Glycosyltransferase family 20
PF00983	Tymovirus coat protein
PF00984	UDP-glucose/GDP-mannose dehydrogenase family, central domain
PF00985	Merozoite Surface Antigen 2 (MSA-2) family
PF00986	DNA gyrase B subunit, carboxyl terminus
PF00988	Carbamoyl-phosphate synthase small chain, CPSase domain
PF00989	PAS fold
PF00990	Diguanylate cyclase, GGDEF domain
PF00992	Troponin
PF00993	Class II histocompatibility antigen, alpha domain
PF00994	Probable molybdopterin binding domain
PF00995	Sec1 family
PF00996	GDP dissociation inhibitor
PF00997	Kappa casein
PF00998	Viral RNA dependent RNA polymerase
PF00999	Sodium/hydrogen exchanger family
PF01000	RNA polymerase Rpb3/RpoA insert domain
PF01001	Hepatitis C virus non-structural protein NS4b
PF01002	Flavivirus non-structural protein NS2B
PF01003	Flavivirus capsid protein C
PF01004	Flavivirus envelope glycoprotein M
PF01005	Flavivirus non-structural protein NS2A
PF01006	Hepatitis C virus non-structural protein NS4a
PF01007	Inward rectifier potassium channel transmembrane domain
PF01008	Initiation factor 2 subunit family
PF01010	NADH-dehyrogenase subunit F, TMs, (complex I) C-terminus
PF01011	PQQ enzyme repeat
PF01012	Electron transfer flavoprotein domain
PF01014	Uricase
PF01015	Ribosomal S3Ae family
PF01016	Ribosomal L27 protein
PF01017	STAT protein, all-alpha domain
PF01018	GTP1/OBG
PF01019	Gamma-glutamyltranspeptidase
PF01020	Ribosomal L40e family
PF01021	Ty transposon capsid protein
PF01022	Bacterial regulatory protein, arsR family
PF01023	S-100/ICaBP type calcium binding domain
PF01024	Colicin pore forming domain
PF01025	GrpE
PF01026	TatD related DNase
PF01027	Inhibitor of apoptosis-promoting Bax1
PF01028	Eukaryotic DNA topoisomerase I, catalytic core
PF01029	NusB family
PF01030	Receptor L domain
PF01031	Dynamin central region
PF01032	FecCD transport family
PF01033	Somatomedin B domain
PF01034	Syndecan domain
PF01035	6-O-methylguanine DNA methyltransferase, DNA binding domain
PF01036	Bacteriorhodopsin-like protein
PF01037	Lrp/AsnC ligand binding domain
PF01039	Carboxyl transferase domain
PF01040	UbiA prenyltransferase family
PF01041	DegT/DnrJ/EryC1/StrS aminotransferase family
PF01042	Endoribonuclease L-PSP
PF01043	SecA preprotein cross-linking domain
PF01044	Vinculin family
PF01047	MarR family
PF01048	Phosphorylase superfamily
PF01049	Cadherin, Y-type LIR-motif
PF01050	Mannose-6-phosphate isomerase
PF01051	Initiator Replication protein, WH1
PF01052	Type III flagellar switch regulator (C-ring) FliN C-term
PF01053	Cys/Met metabolism PLP-dependent enzyme
PF01054	Mouse mammary tumour virus superantigen
PF01055	Glycosyl hydrolases family 31 TIM-barrel domain
PF01056	Myc amino-terminal region
PF01057	Parvovirus non-structural protein NS1
PF01058	NADH ubiquinone oxidoreductase, 20 Kd subunit
PF01059	NADH-ubiquinone oxidoreductase chain 4, amino terminus
PF01060	Transthyretin-like family
PF01061	ABC-2 type transporter
PF01062	Bestrophin, RFP-TM, chloride channel
PF01063	Amino-transferase class IV
PF01064	Activin types I and II receptor domain
PF01065	Hexon, adenovirus major coat protein, N-terminal domain
PF01066	CDP-alcohol phosphatidyltransferase
PF01067	Calpain large subunit, domain III
PF01068	ATP dependent DNA ligase domain
PF01070	FMN-dependent dehydrogenase
PF01071	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
PF01073	3-beta hydroxysteroid dehydrogenase/isomerase family
PF01074	Glycosyl hydrolases family 38 N-terminal domain
PF01075	Glycosyltransferase family 9 (heptosyltransferase)
PF01076	Plasmid recombination enzyme
PF01077	Nitrite and sulphite reductase 4Fe-4S domain
PF01078	Magnesium chelatase, subunit ChlI
PF01079	Hint module
PF01080	Presenilin
PF01081	KDPG and KHG aldolase
PF01082	Copper type II ascorbate-dependent monooxygenase, N-terminal domain
PF01083	Cutinase
PF01084	Ribosomal protein S18
PF01085	Hedgehog amino-terminal signalling domain
PF01086	Clathrin light chain
PF01087	Galactose-1-phosphate uridyl transferase, N-terminal domain
PF01088	Ubiquitin carboxyl-terminal hydrolase, family 1
PF01090	Ribosomal protein S19e
PF01091	PTN/MK heparin-binding protein family, C-terminal domain
PF01092	Ribosomal protein S6e
PF01093	Clusterin
PF01094	Receptor family ligand binding region
PF01095	Pectinesterase
PF01096	Transcription factor S-II (TFIIS)
PF01097	Arthropod defensin
PF01098	Cell cycle protein
PF01099	Uteroglobin family
PF01101	HMG14 and HMG17
PF01102	Glycophorin A
PF01103	Omp85 superfamily domain
PF01104	Bunyavirus non-structural protein NS-s
PF01105	emp24/gp25L/p24 family/GOLD
PF01106	NifU-like domain
PF01107	Viral movement protein (MP)
PF01108	Tissue factor
PF01109	Granulocyte-macrophage colony-stimulating factor
PF01110	Ciliary neurotrophic factor
PF01111	Cyclin-dependent kinase regulatory subunit
PF01112	Asparaginase
PF01113	Dihydrodipicolinate reductase, N-terminus
PF01114	Colipase, N-terminal domain
PF01115	F-actin capping protein, beta subunit
PF01116	Fructose-bisphosphate aldolase class-II
PF01117	Aerolysin toxin
PF01118	Semialdehyde dehydrogenase, NAD binding domain
PF01119	DNA mismatch repair protein, C-terminal domain
PF01120	Alpha-L-fucosidase
PF01121	Dephospho-CoA kinase
PF01122	Eukaryotic cobalamin-binding protein
PF01123	Staphylococcal/Streptococcal toxin, OB-fold domain
PF01124	MAPEG family
PF01125	Pre-mRNA-splicing factor BUD31
PF01126	Heme oxygenase
PF01127	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF01129	NAD:arginine ADP-ribosyltransferase
PF01130	CD36 family
PF01131	DNA topoisomerase
PF01132	Elongation factor P (EF-P) OB domain
PF01133	Enhancer of rudimentary
PF01134	Glucose inhibited division protein A
PF01135	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
PF01136	Peptidase family U32
PF01137	RNA 3'-terminal phosphate cyclase
PF01138	3' exoribonuclease family, domain 1
PF01139	tRNA-splicing ligase RtcB
PF01140	Matrix protein (MA), p15
PF01141	Gag polyprotein, inner coat protein p12
PF01142	tRNA pseudouridine synthase D (TruD)
PF01144	Coenzyme A transferase
PF01145	SPFH domain / Band 7 family
PF01146	Caveolin
PF01147	Crustacean CHH/MIH/GIH neurohormone family
PF01148	Cytidylyltransferase family
PF01149	Formamidopyrimidine-DNA glycosylase N-terminal domain
PF01150	GDA1/CD39 (nucleoside phosphatase) family
PF01151	GNS1/SUR4 family
PF01152	Bacterial-like globin
PF01153	Glypican
PF01154	Hydroxymethylglutaryl-coenzyme A synthase N terminal
PF01155	Hydrogenase/urease nickel incorporation, metallochaperone, hypA
PF01156	Inosine-uridine preferring nucleoside hydrolase
PF01157	Ribosomal protein L21e
PF01158	Ribosomal protein L36e
PF01159	Ribosomal protein L6e
PF01160	Vertebrate endogenous opioids neuropeptide
PF01161	Phosphatidylethanolamine-binding protein
PF01163	RIO1 family
PF01165	Ribosomal protein S21
PF01166	TSC-22/dip/bun family
PF01167	Tub family
PF01168	Alanine racemase, N-terminal domain
PF01169	Uncharacterized protein family UPF0016
PF01170	Putative RNA methylase family UPF0020
PF01171	PP-loop family
PF01172	Shwachman-Bodian-Diamond syndrome (SBDS) protein
PF01174	SNO glutamine amidotransferase family
PF01175	Urocanase Rossmann-like domain
PF01176	Translation initiation factor 1A / IF-1
PF01177	Asp/Glu/Hydantoin racemase
PF01179	Copper amine oxidase, enzyme domain
PF01180	Dihydroorotate dehydrogenase
PF01182	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
PF01183	Glycosyl hydrolases family 25
PF01184	GPR1/FUN34/yaaH family
PF01185	Fungal hydrophobin
PF01186	Lysyl oxidase
PF01187	Macrophage migration inhibitory factor (MIF)
PF01189	16S rRNA methyltransferase RsmB/F
PF01190	Pollen protein Ole e 1 like
PF01191	RNA polymerase Rpb5, C-terminal domain
PF01192	RNA polymerase Rpb6
PF01193	RNA polymerase Rpb3/Rpb11 dimerisation domain
PF01194	RNA polymerases N / 8 kDa subunit
PF01195	Peptidyl-tRNA hydrolase
PF01196	Ribosomal protein L17
PF01197	Ribosomal protein L31
PF01198	Ribosomal protein L31e
PF01199	Ribosomal protein L34e
PF01200	Ribosomal protein S28e
PF01201	Ribosomal protein S8e
PF01202	Shikimate kinase
PF01203	Type II secretion system (T2SS), protein N
PF01204	Trehalase
PF01205	Uncharacterized protein family UPF0029
PF01206	Sulfurtransferase TusA
PF01207	Dihydrouridine synthase (Dus)
PF01208	Uroporphyrinogen decarboxylase (URO-D)
PF01209	ubiE/COQ5 methyltransferase family
PF01210	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus
PF01212	Beta-eliminating lyase
PF01213	Adenylate cyclase associated (CAP) N terminal
PF01214	Casein kinase II regulatory subunit
PF01215	Cytochrome c oxidase subunit Vb
PF01216	Calsequestrin
PF01217	Clathrin adaptor complex small chain
PF01218	Coproporphyrinogen III oxidase
PF01219	Prokaryotic diacylglycerol kinase
PF01220	Dehydroquinase class II
PF01221	Dynein light chain type 1
PF01222	Ergosterol biosynthesis ERG4/ERG24 family
PF01223	DNA/RNA non-specific endonuclease
PF01225	Mur ligase family, catalytic domain
PF01226	Formate/nitrite transporter
PF01227	GTP cyclohydrolase I
PF01228	Glycine radical
PF01229	Glycosyl hydrolases family 39
PF01230	HIT domain
PF01231	Indoleamine 2,3-dioxygenase
PF01232	Mannitol dehydrogenase Rossmann domain
PF01233	Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain
